Testing RandomTest
------------------------------------------------------------------------------------------------------------------------------
|         Tree Type        |    N    |      Insert Only [ms]      |      Access Only [ms]      |      Delete Only [ms]       |
|                          | 10000   | 162325 162325 535672       | 35455 113383 194929        | 145941 207971 543635        |
|                          | 100000  | 2105174 2105174 6947074    | 418531 1357971 2320592     | 1948713 2748314 7230353     |
|                          | 1000000 | 25878164 25878164 85397941 | 4873661 15609628 26819048  | 24390454 34177624 90275668  |
| 2d: Rand 4-Rot, p = 2^-1 |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 2810 9012 15475            | 10014 14294 37326           |
|                          | 10000   | 162325 162325 535672       | 36481 116315 200221        | 147259 208520 547215        |
|                          | 100000  | 2105174 2105174 6947074    | 431377 1397063 2389230     | 1966347 2755292 7277890     |
|                          | 1000000 | 25878164 25878164 85397941 | 5011552 16024745 27551314  | 24599652 34256623 90835822  |
| 3b: Rand 2-Rot, p = 2^-2 |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 1354 9014 12128            | 9769 14258 36726            |
|                          | 10000   | 162325 162325 535672       | 20270 109377 155998        | 144003 207653 538859        |
|                          | 100000  | 2105174 2105174 6947074    | 243404 1306101 1865930     | 1926933 2747568 7179513     |
|                          | 1000000 | 25878164 25878164 85397941 | 2813039 15070912 21540901  | 24105719 34147802 89590955  |
| 3c: Rand 3-Rot, p = 2^-2 |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 1434 9402 12700            | 9796 14193 36723            |
|                          | 10000   | 162325 162325 535672       | 21121 113710 162288        | 145249 207936 542008        |
|                          | 100000  | 2105174 2105174 6947074    | 252296 1351192 1931472     | 1941423 2749651 7214923     |
|                          | 1000000 | 25878164 25878164 85397941 | 2921375 15608872 22328034  | 24288506 34179483 90043046  |
| 3d: Rand 4-Rot, p = 2^-2 |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 1448 9476 12806            | 9886 14258 36995            |
|                          | 10000   | 162325 162325 535672       | 21704 117051 166970        | 146134 208466 544574        |
|                          | 100000  | 2105174 2105174 6947074    | 259995 1389210 1987198     | 1952126 2754079 7243968     |
|                          | 1000000 | 25878164 25878164 85397941 | 3003720 16019932 22928488  | 24415871 34230774 90387277  |
| 4: Scheme 2, p = 2^-1    |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 6880 8519 24343            | 13344 13948 44639           |
|                          | 10000   | 162325 162325 535672       | 91009 107457 316777        | 201834 207705 671923        |
|                          | 100000  | 2105174 2105174 6947074    | 1123163 1288741 3872015    | 2751739 2763489 9092488     |
|                          | 1000000 | 25878164 25878164 85397941 | 13213780 14872611 45264305 | 34836406 34549003 114672736 |
| 4: Scheme 2, p = 2^-2    |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 6641 8440 23714            | 14014 13898 46130           |
|                          | 10000   | 162325 162325 535672       | 88869 106655 311053        | 215205 205770 700741        |
|                          | 100000  | 2105174 2105174 6947074    | 1106015 1284824 3828658    | 2928612 2748608 9484415     |
|                          | 1000000 | 25878164 25878164 85397941 | 13032365 14823295 44797734 | 37116245 34399315 119766678 |
| 5: EvenScheme            |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 7052 8525 24744            | 12411 13941 42486           |
|                          | 10000   | 162325 162325 535672       | 92938 107955 321712        | 186856 207317 637085        |
|                          | 100000  | 2105174 2105174 6947074    | 1148368 1298039 3939285    | 2536882 2762288 8597116     |
|                          | 1000000 | 25878164 25878164 85397941 | 13461014 14959763 45920095 | 31976325 34522938 108068485 |
| 5a: OneRot               |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 7279 8279 25020            | 9297 14723 36106            |
|                          | 10000   | 162325 162325 535672       | 95168 105168 324054        | 137761 215623 532473        |
|                          | 100000  | 2105174 2105174 6947074    | 1160213 1260213 3928702    | 1843808 2855761 7096519     |
|                          | 1000000 | 25878164 25878164 85397941 | 13491874 14491874 45523184 | 23065618 35470135 88521056  |
| 5b: Vanilla/TwoRot       |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 7558 8558 25941            | 9634 14113 36271            |
|                          | 10000   | 162325 162325 535672       | 99132 109132 337135        | 143505 207180 537241        |
|                          | 100000  | 2105174 2105174 6947074    | 1207004 1307004 4083113    | 1917266 2738411 7148122     |
|                          | 1000000 | 25878164 25878164 85397941 | 14054789 15054789 47380803 | 24019815 34066344 89311918  |
| 5c: ThreeRot             |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 7919 8919 27132            | 10056 14139 37267           |
|                          | 10000   | 162325 162325 535672       | 103144 113144 350375       | 148629 207144 548990        |
|                          | 100000  | 2105174 2105174 6947074    | 1255513 1355513 4243192    | 1988131 2741552 7314253     |
|                          | 1000000 | 25878164 25878164 85397941 | 14610727 15610727 49215399 | 24907345 34133954 91420847  |
| 5d: FourRot              |         |                            |                            |                             |
|                          | 1000    | 11568 11568 38174          | 8063 9063 27607            | 10427 14306 38288           |
|                          | 10000   | 162325 162325 535672       | 106051 116051 359968       | 152843 208507 560045        |
|                          | 100000  | 2105174 2105174 6947074    | 1291654 1391654 4362458    | 2040582 2754746 7448084     |
